Trade #,Signal Timestamp,Signal Date,Daily Source Date,4H State Timestamp,Entry Timestamp,Exit Timestamp,Direction,Signal Close,Entry Price,Exit Price,Signal 1H ATR14,Initial SL,Exit/Final Stop,High-Water Mark,Daily Close,Daily EMA50,Daily EMA200,Daily Trend OK,4H EMA50,4H EMA100,4H RSI14,4H ATR14,4H EMA Spread,0.15×ATR Threshold,4H Separation OK,4H Breakout (20 prior incl. used 4H),4H Previous Active Breakout,1H Previous Close,Fresh Breakout OK,Initial Risk Points,Gross Points,Gross P&L (₹),Charges (₹),Net P&L (₹),R Multiple,Cumulative Net (₹),Peak Net (₹),Drawdown (₹),Exit Reason,Holding Bars,Daily EMA Fast,Daily EMA Slow,4H EMA Fast,4H EMA Slow,4H RSI Min,Breakout Length,Spread Min ATR,1H ATR Length,Initial SL ATR,TSL ATR,Baseline Slippage Points/Side,Contract Qty (g),₹ per Price Point / Lot
11,2018-04-18 17:00:00+05:30,2018-04-18,2018-04-17,2018-04-18T13:00:00+05:30,2018-04-18 18:00:00+05:30,2018-04-20 13:00:00+05:30,LONG,31424.0,31428.0,31284.290006755662,66.85499662216807,31294.290006755662,31294.290006755662,31517.0,31257.0,30503.70040153159,29788.08586539789,True,30916.290316684648,30748.23554312336,65.14576658609798,128.56865403066564,168.05477356128904,19.285298104599846,True,31422.0,31422.0,31335.0,True,133.70999324433797,-143.70999324433797,-1437.0999324433797,104.08402108303628,-1541.183953526416,-1.1526318386016958,-2918.884832741378,-1086.5946706507898,-1832.2901620905882,intrabar_stop,23,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
12,2018-05-09 20:00:00+05:30,2018-05-09,2018-05-08,2018-05-09T13:00:00+05:30,2018-05-09 21:00:00+05:30,2018-05-14 10:00:00+05:30,LONG,31303.0,31311.0,31380.439222870413,56.26411738107673,31198.471765237846,31390.439222870413,31545.0,31200.0,30800.56392047466,29981.008043892718,True,31110.361269448647,31020.04708780592,56.82591045291312,97.30456770101912,90.31418164272691,14.595685155152868,True,31300.0,31300.0,31298.0,True,112.52823476215417,69.43922287041278,694.3922287041278,104.15034867473005,590.2418800293977,0.5245278052010371,-2328.6429527119803,-1086.5946706507898,-1242.0482820611905,intrabar_stop,31,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
13,2018-05-24 19:00:00+05:30,2018-05-24,2018-05-23,2018-05-24T13:00:00+05:30,2018-05-24 20:00:00+05:30,2018-05-25 10:00:00+05:30,LONG,31460.0,31470.0,31341.070309496674,59.46484525166304,31351.070309496674,31351.070309496674,31486.0,31186.0,30942.428260052315,30108.905886888722,True,31162.26573587084,31118.820049821312,56.55810361366077,108.19544895296634,43.44568604952656,16.229317342944952,True,31369.0,31369.0,31338.0,True,118.92969050332613,-128.92969050332613,-1289.2969050332613,104.17962374341545,-1393.4765287766768,-1.1716809510554518,-3722.119481488657,-1086.5946706507898,-2635.5248108378673,intrabar_stop,4,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
14,2018-10-03 10:00:00+05:30,2018-10-03,2018-10-01,2018-10-01T21:00:00+05:30,2018-10-03 11:00:00+05:30,2018-10-05 10:00:00+05:30,LONG,31162.0,31180.0,31133.317996287904,102.08496464947639,30975.830070701046,31143.317996287904,31399.0,30840.0,30347.50967574943,30224.927688368472,True,30608.11595385432,30469.935277601406,61.17471029344756,124.83845617717071,138.18067625291587,18.725768426575605,True,30864.0,30880.0,30840.0,True,204.16992929895423,-46.68200371209605,-466.8200371209605,103.76057367278466,-570.5806107937451,-0.27946358837117335,-4292.700092282403,-1086.5946706507898,-3206.105421631613,intrabar_stop,27,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
15,2018-10-05 16:00:00+05:30,2018-10-05,2018-10-04,2018-10-05T09:00:00+05:30,2018-10-05 17:00:00+05:30,2018-10-08 17:00:00+05:30,LONG,31409.0,31419.0,31268.704144003164,85.64823300471058,31247.703533990578,31278.704144003164,31515.0,31291.0,30418.13638272756,30245.535095346153,True,30796.821496619035,30595.2697660464,62.20843798736416,142.12074107455325,201.55173057263528,21.318111161182987,True,31399.0,31399.0,31375.0,True,171.29646600942215,-150.2958559968356,-1502.958559968356,104.05906326627326,-1607.0176232346294,-0.9381498992198913,-5899.717715517032,-1086.5946706507898,-4813.123044866243,intrabar_stop,14,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
16,2018-10-11 19:00:00+05:30,2018-10-11,2018-10-10,2018-10-11T13:00:00+05:30,2018-10-11 20:00:00+05:30,2018-10-16 17:00:00+05:30,LONG,31557.0,31573.0,31800.375093232928,75.31157730530457,31422.37684538939,31810.375093232928,32075.0,31247.0,30540.762277910777,30284.916829198362,True,31032.795146864457,30791.473580935064,66.21993296988177,133.94870540708166,241.32156592939282,20.09230581106225,True,31517.0,31517.0,31500.0,True,150.62315461061007,227.3750932329276,2273.750932329276,104.83270715444681,2168.9182251748293,1.4399633514394925,-3730.7994903422027,-1086.5946706507898,-2644.204819691413,intrabar_stop,39,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
17,2018-10-23 13:00:00+05:30,2018-10-23,2018-10-22,2018-10-23T09:00:00+05:30,2018-10-23 14:00:00+05:30,2018-10-23 20:00:00+05:30,LONG,32008.0,32030.0,31891.249809701923,64.37509514903826,31901.249809701923,31901.249809701923,32053.0,31729.0,30875.101600318325,30398.457722472485,True,31539.40845402338,31222.58498177141,64.06156919593636,120.53430614320254,316.8234722519701,18.08014592148038,True,31964.0,32000.0,31930.0,True,128.75019029807663,-138.75019029807663,-1387.5019029807663,105.18371632609393,-1492.6856193068602,-1.1593657577134928,-5223.485109649063,-1086.5946706507898,-4136.890438998273,intrabar_stop,6,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
18,2018-12-26 18:00:00+05:30,2018-12-26,2018-12-24,2018-12-26T13:00:00+05:30,2018-12-26 19:00:00+05:30,2018-12-31 09:00:00+05:30,LONG,31530.0,31536.0,31432.479523052025,68.46437765680018,31399.071244686398,31442.479523052025,31647.0,31375.0,31117.76291457604,30684.367162082708,True,31240.642799540718,31178.653530586238,60.62421639150661,157.78392608846082,61.989268954479485,23.66758891326912,True,31520.0,31504.0,31457.0,True,136.92875531360187,-103.52047694797511,-1035.2047694797511,104.33271184656158,-1139.5374813263127,-0.8322119621378873,-6363.022590975375,-1086.5946706507898,-5276.427920324586,intrabar_stop,33,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
19,2019-01-02 16:00:00+05:30,2019-01-02,2019-01-01,2019-01-02T09:00:00+05:30,2019-01-02 17:00:00+05:30,2019-01-04 14:00:00+05:30,LONG,31665.0,31677.0,31702.053963717703,58.409005672552524,31560.181988654895,31712.053963717703,31925.0,31428.0,31186.66253969868,30724.098217750787,True,31375.43620764277,31275.933377740595,55.12649798697327,137.79845879424778,99.50282990217602,20.669768819137165,True,31647.0,31647.0,31641.0,True,116.81801134510533,25.053963717702572,250.53963717702572,104.75693500346348,145.78270217356226,0.12479471315676574,-6217.239888801813,-1086.5946706507898,-5130.645218151023,intrabar_stop,27,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
20,2019-01-09 23:00:00+05:30,2019-01-09,2019-01-08,2019-01-09T17:00:00+05:30,2019-01-10 09:00:00+05:30,2019-01-10 17:00:00+05:30,LONG,31981.0,32100.0,31967.736617761155,61.1316911194217,31977.736617761155,31977.736617761155,32119.0,31736.0,31271.315336686348,30769.401240453084,True,31562.76833370569,31424.59518803779,65.15854690790103,130.12058639268542,138.17314566790083,19.518087958902814,True,31925.0,31925.0,31920.0,True,122.26338223884522,-132.26338223884522,-1322.6338223884522,105.31931814129922,-1427.9531405297514,-1.1679319796177416,-7645.1930293315645,-1086.5946706507898,-6558.598358680774,intrabar_stop,8,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
21,2019-01-14 14:00:00+05:30,2019-01-14,2019-01-11,2019-01-14T09:00:00+05:30,2019-01-14 15:00:00+05:30,2019-01-17 20:00:00+05:30,LONG,32120.0,32130.0,32195.540464329293,57.64267716582114,32014.71464566836,32205.540464329293,32363.0,31924.0,31345.894535629675,30803.744885891247,True,31702.501908262755,31526.525733772483,63.43767652658296,126.98644915119104,175.97617449027166,19.047967372678656,True,32119.0,32119.0,32108.0,True,115.28535433164143,65.54046432929317,655.4046432929317,105.63252041653344,549.7721228763983,0.4768794146174618,-7095.420906455166,-1086.5946706507898,-6008.826235804376,intrabar_stop,50,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
22,2019-01-25 21:00:00+05:30,2019-01-25,2019-01-24,2019-01-25T17:00:00+05:30,2019-01-25 22:00:00+05:30,2019-02-06 09:00:00+05:30,LONG,32362.0,32375.0,33189.0,55.02466554023182,32264.950668919537,33199.831060574885,33383.0,32016.0,31584.511154426855,30918.62999712882,True,32040.334137759906,31854.451729613796,62.07025895966345,103.50561616701816,185.8824081461098,15.525842425052723,True,32315.0,32199.0,32275.0,False,110.04933108046316,814.0,8140.0,107.05640072,8032.94359928,7.299402477427755,937.5226928248339,937.5226928248339,0.0,gap_stop,107,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
23,2019-02-15 13:00:00+05:30,2019-02-15,2019-02-14,2019-02-15T09:00:00+05:30,2019-02-15 14:00:00+05:30,2019-02-20 20:00:00+05:30,LONG,33157.0,33173.0,33678.38444567587,66.21596192521358,33040.568076149575,33688.38444567587,33877.0,32970.0,32214.556533181152,31204.61331893729,True,32888.121561601554,32630.45728647954,59.2043068179271,128.19618459034692,257.66427512201335,19.229427688552036,True,33142.0,33142.0,33116.0,True,132.43192385042494,505.384445675867,5053.84445675867,108.10187382725513,4945.742582931415,3.73455465958297,5883.265275756249,5883.265275756249,0.0,intrabar_stop,51,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
24,2019-06-03 23:00:00+05:30,2019-06-03,2019-05-31,2019-06-03T17:00:00+05:30,2019-06-04 09:00:00+05:30,2019-06-07 09:00:00+05:30,LONG,32415.0,32339.0,32619.700651534673,68.10071328273675,32202.798573434527,32629.700651534673,32866.0,32213.0,31849.254286845666,31601.312792776516,True,31831.726782667552,31808.396184183155,73.63451021137233,135.48858138405748,23.330598484397342,20.323287207608622,True,32400.0,32400.0,32390.0,True,136.2014265654725,280.70065153467294,2807.0065153467294,106.29348127819432,2700.7130340685353,1.9828816057005785,8583.978309824784,8583.978309824784,0.0,intrabar_stop,37,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
25,2019-06-07 18:00:00+05:30,2019-06-07,2019-06-06,2019-06-07T13:00:00+05:30,2019-06-07 19:00:00+05:30,2019-06-10 09:00:00+05:30,LONG,32873.0,32886.0,32731.391891540305,72.3040542298478,32741.391891540305,32741.391891540305,32944.0,32734.0,31956.17321969624,31639.23010619248,True,32153.377413519476,31993.611169285407,77.66348452008839,130.82444551674945,159.76624423406975,19.623666827512416,True,32866.0,32866.0,32805.0,True,144.60810845969536,-154.60810845969536,-1546.0810845969536,106.7174362462969,-1652.7985208432506,-1.1429501004114941,6931.179788981533,8583.978309824784,-1652.798520843251,intrabar_stop,5,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
26,2019-06-14 09:00:00+05:30,2019-06-14,2019-06-13,2019-06-13T21:00:00+05:30,2019-06-14 10:00:00+05:30,2019-06-14 22:00:00+05:30,LONG,33006.0,33016.0,32998.31125381108,62.42264135417087,32891.15471729166,33008.31125381108,33241.0,32884.0,32095.669181566158,31692.175698658906,True,32436.927209667847,32207.54047571088,69.25360075644383,113.5022484525443,229.38673395696605,17.025337267881643,True,32944.0,32944.0,32909.0,True,124.84528270833835,-17.68874618892005,-176.8874618892005,107.13259883375981,-284.0200607229603,-0.2274976311171353,6647.1597282585735,8583.978309824784,-1936.818581566211,intrabar_stop,12,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
